,timestamp,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,has_availability,predictions
101,1659349120,Manhattan,Other,Private room,120,4,3,0.26,1,0,no,145.0
102,1659349247,Brooklyn,Other,Entire home/apt,125,3,6,0.47,1,0,no,107.0
103,1659349384,Brooklyn,Other,Entire home/apt,200,1,0,0.0,1,0,no,191.0
104,1659349425,Queens,Other,Private room,65,1,16,0.5,1,0,no,57.0
105,1659349430,Brooklyn,Other,Entire home/apt,88,1,39,3.77,1,362,yes,92.0
106,1659349501,Manhattan,East Harlem,Private room,95,1,297,5.03,2,127,yes,92.0
107,1659349560,Manhattan,Washington Heights,Private room,110,1,0,0.0,1,0,no,116.0
108,1659349583,Manhattan,Upper West Side,Private room,305,1,0,0.0,10,271,yes,299.0
109,1659349600,Queens,Other,Private room,65,2,92,1.87,6,79,yes,71.0
110,1659349859,Manhattan,Harlem,Private room,39,2,12,0.81,1,4,yes,52.0
111,1659349891,Manhattan,Upper West Side,Entire home/apt,99,2,0,0.0,3,93,yes,83.0
112,1659349990,Manhattan,Midtown,Private room,55,30,0,0.0,1,41,yes,57.0
113,1659350102,Manhattan,Midtown,Entire home/apt,285,31,5,0.12,1,365,yes,300.0
114,1659350140,Queens,Other,Entire home/apt,99,3,0,0.0,3,0,no,99.0
115,1659350150,Brooklyn,Flatbush,Private room,120,2,114,1.96,2,312,yes,111.0
116,1659350214,Brooklyn,Flatbush,Private room,50,3,9,0.2,1,0,no,54.0
117,1659350294,Manhattan,Hell's Kitchen,Entire home/apt,180,3,33,1.79,2,0,no,177.0
118,1659350296,Manhattan,Other,Entire home/apt,700,2,1,0.04,1,0,no,679.0
119,1659350427,Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,10,58,0.92,1,282,yes,102.0
120,1659350453,Manhattan,Harlem,Private room,85,1,9,0.9,1,364,yes,78.0
121,1659350468,Brooklyn,Crown Heights,Private room,50,4,15,0.32,1,324,yes,42.0
122,1659350489,Brooklyn,Other,Entire home/apt,169,2,49,1.0,1,4,yes,167.0
123,1659350572,Queens,Astoria,Private room,75,1,0,0.0,1,0,no,64.0
124,1659350798,Queens,Other,Entire home/apt,95,3,6,0.28,1,15,yes,83.0
125,1659350920,Brooklyn,Williamsburg,Entire home/apt,160,6,1,0.01,1,0,no,176.0
126,1659350924,Manhattan,East Harlem,Entire home/apt,59,4,9,1.02,1,0,no,56.0
127,1659350938,Brooklyn,Williamsburg,Entire home/apt,300,2,33,0.86,2,76,yes,296.0
128,1659351182,Brooklyn,Other,Private room,49,2,26,0.54,1,362,yes,49.0
129,1659351231,Manhattan,Harlem,Private room,62,14,1,0.45,3,265,yes,70.0
130,1659351263,Brooklyn,Williamsburg,Private room,70,9,1,0.19,2,15,yes,61.0
131,1659351288,Queens,Other,Private room,44,3,17,1.73,1,126,yes,55.0
132,1659351386,Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,1,3,0.06,1,0,no,100.0
133,1659351408,Queens,Other,Entire home/apt,130,1,2,2.0,1,148,yes,146.0
134,1659351453,Queens,Other,Private room,48,1,510,16.22,5,341,yes,52.0
135,1659351557,Brooklyn,Other,Private room,80,2,118,1.35,1,353,yes,86.0
136,1659351560,Brooklyn,Greenpoint,Entire home/apt,350,1,1,0.12,33,0,no,348.0
137,1659351583,Brooklyn,Fort Greene,Entire home/apt,205,3,3,0.06,1,0,no,231.0
138,1659351646,Brooklyn,Bedford-Stuyvesant,Private room,65,1,126,3.5,3,0,no,42.0
139,1659351661,Manhattan,Upper East Side,Private room,187,1,6,0.26,1,0,no,195.0
140,1659351757,Manhattan,Chelsea,Entire home/apt,299,2,25,1.22,1,221,yes,284.0
141,1659351785,Brooklyn,Park Slope,Entire home/apt,150,6,1,0.09,1,209,yes,150.0
142,1659351870,Manhattan,Upper East Side,Shared room,199,1,0,0.0,1,0,no,187.0
143,1659351871,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,125,9,10,0.24,1,0,no,125.0
144,1659351879,Queens,Other,Entire home/apt,290,4,13,0.28,1,277,yes,287.0
145,1659352006,Staten Island,Other,Entire home/apt,140,2,12,1.57,2,340,yes,145.0
146,1659352012,Brooklyn,Williamsburg,Private room,53,3,4,0.18,1,0,no,68.0
147,1659352058,Queens,Other,Private room,50,1,21,1.39,5,71,yes,37.0
148,1659352134,Manhattan,Harlem,Entire home/apt,100,2,24,0.29,1,0,no,98.0
149,1659352231,Brooklyn,Bedford-Stuyvesant,Private room,50,1,114,7.57,3,363,yes,30.0
150,1659352409,Manhattan,Hell's Kitchen,Private room,160,5,5,0.13,1,0,no,160.0
151,1659352415,Brooklyn,Bedford-Stuyvesant,Private room,65,1,85,1.16,15,345,yes,74.0
152,1659352466,Brooklyn,Other,Entire home/apt,195,2,4,4.0,1,345,yes,194.0
153,1659352619,Manhattan,Midtown,Private room,224,3,0,0.0,1,3,yes,224.0
154,1659352674,Brooklyn,Bedford-Stuyvesant,Private room,77,2,38,0.66,7,66,yes,71.0
155,1659352756,Manhattan,Upper East Side,Entire home/apt,118,1,1,0.02,1,0,no,126.0
156,1659352762,Manhattan,Upper West Side,Private room,116,1,43,0.63,1,0,no,124.0
157,1659352890,Manhattan,Hell's Kitchen,Entire home/apt,160,1,2,2.0,1,55,yes,151.0
158,1659352917,Manhattan,Midtown,Entire home/apt,299,2,8,0.16,1,176,yes,289.0
159,1659352920,Brooklyn,Greenpoint,Entire home/apt,104,11,22,0.26,1,0,no,116.0
160,1659353194,Brooklyn,Fort Greene,Entire home/apt,275,2,180,2.99,2,290,yes,278.0
161,1659353276,Manhattan,Other,Entire home/apt,225,1,1,0.02,1,0,no,225.0
162,1659353495,Brooklyn,Williamsburg,Entire home/apt,200,4,50,1.24,1,50,yes,213.0
163,1659353511,Manhattan,Upper West Side,Private room,42,12,0,0.0,1,0,no,42.0
164,1659353522,Queens,Other,Private room,55,1,9,6.43,1,59,yes,51.0
165,1659353563,Manhattan,East Village,Entire home/apt,160,4,0,0.0,1,0,no,166.0
166,1659353564,Brooklyn,Other,Private room,50,30,2,0.04,1,0,no,46.0
167,1659353596,Queens,Other,Private room,40,2,19,1.6,1,24,yes,24.0
168,1659353602,Manhattan,Upper West Side,Entire home/apt,300,5,3,0.08,1,9,yes,296.0
169,1659353809,Manhattan,Financial District,Entire home/apt,185,29,1,0.11,96,220,yes,185.0
170,1659353815,Brooklyn,Other,Private room,55,2,2,0.13,1,0,no,40.0
171,1659353848,Manhattan,East Village,Entire home/apt,315,1,2,0.04,1,0,no,307.0
172,1659353969,Manhattan,Hell's Kitchen,Entire home/apt,300,1,118,7.5,1,28,yes,300.0
173,1659354031,Bronx,Other,Private room,80,1,2,0.09,1,88,yes,84.0
174,1659354052,Brooklyn,Crown Heights,Entire home/apt,55,2,6,0.14,1,0,no,62.0
175,1659354132,Queens,Other,Private room,99,1,3,0.06,2,322,yes,92.0
176,1659354137,Manhattan,Upper East Side,Entire home/apt,149,1,1,0.02,1,0,no,154.0
177,1659354174,Manhattan,Washington Heights,Entire home/apt,150,30,0,0.0,2,339,yes,149.0
178,1659354205,Brooklyn,Flatbush,Entire home/apt,75,30,46,1.25,1,89,yes,69.0
179,1659354335,Queens,Other,Private room,50,1,20,1.64,4,2,yes,40.0
180,1659354340,Manhattan,Upper West Side,Entire home/apt,360,6,0,0.0,1,0,no,363.0
181,1659354379,Brooklyn,Williamsburg,Shared room,130,1,0,0.0,1,0,no,133.0
182,1659354400,Brooklyn,Williamsburg,Entire home/apt,160,3,11,0.11,1,188,yes,166.0
183,1659354438,Brooklyn,Williamsburg,Private room,100,1,1,0.02,1,0,no,102.0
184,1659354494,Brooklyn,Flatbush,Entire home/apt,100,1,5,0.27,1,0,no,97.0
185,1659354519,Queens,Other,Entire home/apt,69,2,1,0.06,1,0,no,65.0
186,1659354677,Bronx,Other,Private room,35,1,38,2.82,2,75,yes,39.0
187,1659354682,Brooklyn,Williamsburg,Private room,100,14,0,0.0,1,0,no,94.0
188,1659354748,Brooklyn,Fort Greene,Entire home/apt,250,4,134,1.95,1,222,yes,224.0
189,1659355010,Brooklyn,Greenpoint,Entire home/apt,295,1,52,3.83,1,161,yes,307.0
190,1659355108,Brooklyn,Williamsburg,Private room,85,6,1,0.43,1,0,no,72.0
191,1659355156,Manhattan,East Harlem,Private room,70,1,0,0.0,1,314,yes,66.0
192,1659355224,Brooklyn,Bedford-Stuyvesant,Private room,90,2,3,0.37,1,329,yes,82.0
193,1659355249,Manhattan,Other,Entire home/apt,150,3,2,0.08,2,0,no,171.0
194,1659355250,Manhattan,Harlem,Private room,65,1,6,0.24,1,0,no,70.0
195,1659355412,Manhattan,Washington Heights,Private room,79,3,0,0.0,5,18,yes,71.0
196,1659355422,Brooklyn,Williamsburg,Private room,95,2,14,3.44,1,32,yes,97.0
197,1659355457,Manhattan,Other,Entire home/apt,170,30,1,0.03,31,142,yes,160.0
198,1659355519,Manhattan,Midtown,Entire home/apt,220,3,36,2.11,1,331,yes,203.0
199,1659355555,Manhattan,Other,Entire home/apt,350,1,0,0.0,9,337,yes,349.0
200,1659355760,Manhattan,Harlem,Private room,51,2,21,0.87,1,0,no,42.0
201,1659355796,Queens,Other,Entire home/apt,60,14,3,0.3,1,4,yes,59.0
202,1659355816,Manhattan,Upper East Side,Entire home/apt,350,31,1,0.18,33,327,yes,356.0
203,1659355868,Queens,Other,Entire home/apt,125,1,11,0.31,1,0,no,142.0
204,1659355884,Brooklyn,Clinton Hill,Private room,129,3,103,2.02,1,156,yes,99.0
205,1659355896,Queens,Long Island City,Entire home/apt,95,30,24,0.25,8,358,yes,102.0
206,1659355982,Brooklyn,Other,Private room,100,1,1,1.0,5,365,yes,100.0
207,1659356003,Brooklyn,Williamsburg,Private room,80,5,0,0.0,1,0,no,85.0
208,1659356155,Queens,Other,Entire home/apt,80,7,1,0.94,1,87,yes,79.0
209,1659356284,Manhattan,West Village,Entire home/apt,189,2,68,0.92,1,63,yes,189.0
210,1659356314,Brooklyn,Williamsburg,Private room,85,1,2,0.09,2,64,yes,52.0
211,1659356391,Manhattan,Upper West Side,Entire home/apt,90,5,0,0.0,1,0,no,66.0
212,1659356435,Manhattan,Other,Entire home/apt,219,29,0,0.0,327,346,yes,212.0
213,1659356679,Manhattan,Harlem,Entire home/apt,65,1,0,0.0,1,32,yes,83.0
214,1659356819,Manhattan,Upper West Side,Private room,100,1,28,1.66,3,270,yes,84.0
215,1659356936,Manhattan,Upper West Side,Entire home/apt,250,2,2,0.09,1,0,no,257.0
216,1659356937,Manhattan,Harlem,Private room,80,1,1,0.79,2,194,yes,82.0
217,1659356956,Manhattan,Other,Entire home/apt,215,30,110,1.3,1,332,yes,222.0
218,1659356999,Brooklyn,Other,Private room,59,1,75,1.46,3,322,yes,59.0
219,1659357097,Brooklyn,Other,Entire home/apt,390,10,4,0.17,1,115,yes,398.0
220,1659357123,Queens,Other,Private room,60,1,2,2.0,6,179,yes,66.0
221,1659357140,Brooklyn,Williamsburg,Private room,75,3,0,0.0,1,0,no,79.0
222,1659357301,Brooklyn,Bushwick,Private room,62,1,1,0.03,1,0,no,48.0
223,1659357350,Brooklyn,Greenpoint,Entire home/apt,300,2,1,1.0,1,24,yes,305.0
224,1659357377,Brooklyn,Williamsburg,Private room,95,12,1,0.03,1,0,no,99.0
225,1659357415,Brooklyn,Bedford-Stuyvesant,Entire home/apt,250,2,1,1.0,1,66,yes,242.0
226,1659357559,Manhattan,East Village,Entire home/apt,122,3,0,0.0,1,0,no,109.0
227,1659357615,Brooklyn,Bedford-Stuyvesant,Private room,60,9,1,0.33,1,83,yes,46.0
228,1659357702,Manhattan,Midtown,Entire home/apt,200,1,0,0.0,1,0,no,203.0
229,1659357724,Queens,Other,Private room,50,1,44,4.57,1,155,yes,43.0
230,1659357950,Manhattan,Other,Entire home/apt,350,2,34,1.52,1,10,yes,333.0
231,1659357970,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,125,2,11,0.94,1,0,no,111.0
232,1659357995,Manhattan,Harlem,Private room,65,1,154,4.03,1,361,yes,81.0
233,1659358013,Brooklyn,Bushwick,Shared room,32,30,0,0.0,8,365,yes,37.0
234,1659358075,Brooklyn,Bushwick,Private room,45,1,24,6.61,1,167,yes,45.0
235,1659358102,Manhattan,Upper East Side,Entire home/apt,284,4,7,1.11,1,328,yes,281.0
236,1659358112,Brooklyn,Bushwick,Private room,68,2,5,1.76,1,15,yes,57.0
237,1659358254,Brooklyn,Other,Private room,60,10,27,0.5,1,322,yes,60.0
238,1659358264,Manhattan,Other,Entire home/apt,128,2,5,0.19,1,0,no,126.0
239,1659358336,Brooklyn,Crown Heights,Private room,64,1,1,0.04,1,0,no,70.0
240,1659358451,Brooklyn,Williamsburg,Entire home/apt,150,2,4,0.63,1,0,no,135.0
241,1659358460,Brooklyn,Bedford-Stuyvesant,Private room,55,2,3,0.09,1,0,no,76.0
242,1659358532,Manhattan,Chelsea,Entire home/apt,495,5,8,0.16,1,0,no,513.0
243,1659358553,Manhattan,Hell's Kitchen,Private room,180,1,0,0.0,1,83,yes,186.0
244,1659358583,Manhattan,Hell's Kitchen,Entire home/apt,130,30,4,0.23,20,272,yes,116.0
245,1659358632,Manhattan,Upper West Side,Entire home/apt,199,2,27,1.34,1,335,yes,194.0
246,1659358651,Brooklyn,Bushwick,Private room,60,5,0,0.0,1,0,no,64.0
247,1659358682,Queens,Other,Entire home/apt,80,3,4,0.61,1,0,no,91.0
248,1659358685,Brooklyn,Bedford-Stuyvesant,Entire home/apt,225,3,12,0.61,1,72,yes,225.0
249,1659358705,Brooklyn,Prospect-Lefferts Gardens,Private room,50,3,47,0.84,3,76,yes,69.0
250,1659358743,Manhattan,West Village,Private room,209,1,40,3.09,10,247,yes,207.0
251,1659358798,Manhattan,East Harlem,Entire home/apt,100,2,1,0.18,2,0,no,101.0
252,1659358841,Manhattan,Other,Private room,100,30,3,0.28,2,0,no,64.0
253,1659358843,Manhattan,Other,Entire home/apt,278,30,0,0.0,232,330,yes,278.0
254,1659359145,Queens,Other,Private room,100,1,0,0.0,1,0,no,116.0
255,1659359146,Queens,Astoria,Private room,70,1,3,0.39,3,188,yes,67.0
256,1659359172,Manhattan,Hell's Kitchen,Entire home/apt,180,1,0,0.0,1,0,no,176.0
257,1659359184,Manhattan,Harlem,Entire home/apt,100,3,4,0.16,1,0,no,97.0
258,1659359242,Manhattan,Upper East Side,Entire home/apt,250,2,1,0.38,1,0,no,252.0
259,1659359394,Brooklyn,Other,Entire home/apt,150,1,48,1.96,1,330,yes,165.0
260,1659359397,Brooklyn,Williamsburg,Private room,97,2,0,0.0,2,0,no,94.0
261,1659359455,Brooklyn,Williamsburg,Private room,70,1,0,0.0,1,0,no,62.0
262,1659359467,Brooklyn,Other,Entire home/apt,200,3,0,0.0,1,0,no,191.0
263,1659359480,Brooklyn,Other,Private room,75,1,2,2.0,2,353,yes,71.0
264,1659359498,Brooklyn,Other,Private room,72,1,4,0.1,4,0,no,73.0
265,1659359500,Brooklyn,Williamsburg,Private room,75,2,2,0.13,2,7,yes,62.0
266,1659359589,Brooklyn,Other,Entire home/apt,110,30,1,1.0,1,1,yes,107.0
267,1659359670,Manhattan,East Village,Private room,58,4,20,1.69,1,10,yes,64.0
268,1659359696,Manhattan,West Village,Entire home/apt,180,2,4,0.31,1,0,no,163.0
269,1659359786,Queens,Astoria,Private room,60,1,2,0.32,1,249,yes,68.0
270,1659359797,Manhattan,Other,Entire home/apt,165,29,1,0.59,327,342,yes,167.0
271,1659359807,Brooklyn,Other,Private room,65,2,30,1.55,4,305,yes,63.0
272,1659359883,Manhattan,Upper West Side,Private room,92,1,0,0.0,1,0,no,91.0
273,1659359897,Queens,Other,Private room,60,1,0,0.0,3,90,yes,63.0
274,1659359919,Manhattan,Midtown,Private room,100,1,0,0.0,8,311,yes,103.0
275,1659359926,Manhattan,Hell's Kitchen,Private room,89,1,0,0.0,1,0,no,85.0
276,1659359935,Manhattan,Other,Private room,49,30,0,0.0,1,32,yes,49.0
277,1659359978,Brooklyn,Bushwick,Private room,55,1,2,0.05,1,0,no,62.0
278,1659360064,Queens,Other,Private room,125,1,11,0.28,4,301,yes,110.0
279,1659360068,Manhattan,Other,Entire home/apt,250,4,0,0.0,1,0,no,254.0
280,1659360076,Brooklyn,Bushwick,Private room,65,20,0,0.0,1,0,no,64.0
281,1659360099,Queens,Astoria,Entire home/apt,100,1,102,1.73,1,33,yes,97.0
282,1659360137,Manhattan,Hell's Kitchen,Entire home/apt,125,5,5,0.09,1,0,no,129.0
283,1659360142,Manhattan,East Harlem,Private room,79,1,16,7.38,2,93,yes,84.0
284,1659360221,Manhattan,Other,Entire home/apt,270,1,0,0.0,1,0,no,266.0
285,1659360265,Manhattan,Lower East Side,Shared room,35,14,8,1.31,28,322,yes,40.0
286,1659360370,Manhattan,Upper West Side,Entire home/apt,175,21,1,0.02,1,0,no,177.0
287,1659360371,Brooklyn,Park Slope,Private room,100,2,131,3.97,1,126,yes,84.0
288,1659360406,Queens,Other,Private room,40,14,1,0.03,1,0,no,36.0
289,1659360478,Manhattan,Midtown,Entire home/apt,100,1,0,0.0,1,365,yes,100.0
290,1659360668,Manhattan,Chelsea,Private room,70,1,206,2.72,1,15,yes,60.0
291,1659360734,Brooklyn,Bedford-Stuyvesant,Private room,45,15,3,0.1,1,0,no,46.0
292,1659360757,Brooklyn,Other,Entire home/apt,100,5,10,0.41,1,0,no,102.0
293,1659360786,Brooklyn,Other,Entire home/apt,69,2,64,3.95,2,225,yes,70.0
294,1659360852,Manhattan,East Village,Private room,105,5,74,1.61,2,0,no,109.0
295,1659360920,Brooklyn,Bedford-Stuyvesant,Private room,120,2,0,0.0,1,6,yes,129.0
296,1659360979,Brooklyn,Bushwick,Private room,80,1,1,0.68,2,74,yes,89.0
297,1659361014,Brooklyn,Williamsburg,Entire home/apt,200,3,3,0.05,1,0,no,215.0
298,1659361038,Queens,Other,Private room,69,3,21,0.85,9,357,yes,59.0
299,1659361078,Manhattan,Upper West Side,Entire home/apt,350,1,11,0.54,1,80,yes,348.0
300,1659361123,Manhattan,Hell's Kitchen,Private room,143,3,18,0.89,4,365,yes,154.0
301,1659361167,Brooklyn,Other,Entire home/apt,195,2,59,2.03,1,0,no,194.0
