,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,has_availability,predictions
157,Queens,Astoria,Entire home/apt,107,30,24,0.29,8,262,yes,115
158,Brooklyn,Bushwick,Private room,40,5,1,0.02,1,0,no,45
159,Manhattan,Upper West Side,Entire home/apt,185,2,16,0.23,1,261,yes,192
160,Brooklyn,Greenpoint,Private room,50,7,1,0.26,1,157,yes,55
161,Queens,Other,Entire home/apt,180,1,19,0.54,1,361,yes,170
162,Bronx,Other,Private room,40,30,21,0.44,6,343,yes,43
163,Manhattan,Other,Entire home/apt,140,13,4,0.44,1,0,no,143
164,Queens,Other,Private room,120,2,0,,2,0,no,121
165,Queens,Astoria,Entire home/apt,150,7,12,0.42,1,3,yes,142
166,Manhattan,East Village,Entire home/apt,169,5,9,0.13,1,0,no,178
167,Brooklyn,Bushwick,Private room,50,2,28,1.22,4,341,yes,49
168,Brooklyn,Crown Heights,Entire home/apt,75,3,9,0.54,1,280,yes,91
169,Staten Island,Other,Entire home/apt,195,3,1,1.0,1,119,yes,186
170,Queens,Astoria,Private room,36,2,37,1.03,2,228,yes,35
171,Manhattan,East Village,Entire home/apt,300,3,6,0.94,1,0,no,311
172,Brooklyn,Williamsburg,Private room,53,3,4,0.18,1,0,no,33
173,Manhattan,Lower East Side,Private room,180,1,0,,1,0,no,181
174,Manhattan,Lower East Side,Entire home/apt,300,1,54,5.87,1,48,yes,317
175,Manhattan,Chelsea,Entire home/apt,349,5,19,0.45,1,358,yes,340
176,Brooklyn,East Flatbush,Private room,53,2,2,0.1,4,54,yes,42
177,Brooklyn,Williamsburg,Private room,90,2,5,0.33,1,0,no,109
178,Brooklyn,Other,Private room,55,2,56,1.23,2,306,yes,60
179,Queens,Other,Private room,45,30,1,1.0,23,309,yes,39
180,Brooklyn,Clinton Hill,Entire home/apt,170,2,3,0.39,1,0,no,174
181,Manhattan,Harlem,Private room,75,3,11,0.35,1,14,yes,68
182,Manhattan,Upper West Side,Entire home/apt,109,30,20,0.34,8,90,yes,106
183,Brooklyn,Fort Greene,Entire home/apt,80,30,6,0.11,1,187,yes,79
184,Brooklyn,Bedford-Stuyvesant,Private room,59,1,83,5.48,3,24,yes,62
185,Queens,Other,Entire home/apt,128,2,23,1.75,7,10,yes,123
186,Brooklyn,Bedford-Stuyvesant,Entire home/apt,134,4,65,2.56,1,130,yes,120
187,Manhattan,East Village,Entire home/apt,140,5,25,0.37,1,13,yes,138
188,Manhattan,Harlem,Private room,39,30,3,0.14,8,282,yes,40
189,Queens,Astoria,Private room,100,1,13,0.91,1,172,yes,98
190,Manhattan,Midtown,Private room,100,1,0,,13,364,yes,92
191,Queens,Long Island City,Entire home/apt,180,6,1,0.03,1,0,no,184
192,Manhattan,Harlem,Entire home/apt,150,1,1,0.02,1,0,no,143
193,Manhattan,Other,Entire home/apt,200,2,20,1.17,3,20,yes,190
194,Queens,Other,Private room,63,1,22,1.99,4,347,yes,63
195,Brooklyn,Greenpoint,Private room,55,1,2,0.27,1,0,no,53
196,Manhattan,Upper East Side,Entire home/apt,150,5,11,0.24,1,0,no,150
197,Manhattan,Hell's Kitchen,Entire home/apt,239,30,2,0.07,121,365,yes,236
198,Brooklyn,Prospect-Lefferts Gardens,Private room,65,1,0,,1,0,no,65
199,Queens,Other,Private room,55,1,50,4.81,1,1,yes,55
200,Queens,Other,Entire home/apt,50,20,2,0.08,1,0,no,54
201,Manhattan,Washington Heights,Private room,50,1,43,3.01,1,0,no,45
202,Brooklyn,Williamsburg,Private room,50,1,3,0.08,1,0,no,37
203,Manhattan,Midtown,Entire home/apt,184,30,9,0.25,14,332,yes,163
204,Brooklyn,Bedford-Stuyvesant,Private room,55,1,1,0.16,1,0,no,46
205,Manhattan,Midtown,Entire home/apt,235,2,4,4.0,1,129,yes,245
206,Brooklyn,Williamsburg,Private room,68,1,29,0.77,3,0,no,70
207,Manhattan,East Village,Entire home/apt,150,3,0,,1,0,no,152
208,Manhattan,East Harlem,Entire home/apt,300,3,38,2.42,1,272,yes,299
209,Brooklyn,Williamsburg,Shared room,62,2,45,0.9,1,325,yes,58
210,Manhattan,Midtown,Private room,699,2,0,,1,365,yes,687
211,Manhattan,Other,Entire home/apt,125,2,32,1.77,1,19,yes,122
212,Queens,Other,Private room,75,2,15,1.84,6,342,yes,75
213,Manhattan,Chelsea,Entire home/apt,370,12,0,,1,320,yes,380
214,Manhattan,Upper West Side,Private room,100,3,38,1.21,1,14,yes,105
215,Bronx,Other,Entire home/apt,100,2,2,1.05,3,26,yes,106
216,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,100,2,2,0.11,1,95,yes,112
217,Manhattan,Lower East Side,Entire home/apt,150,1,0,,1,0,no,153
218,Brooklyn,Williamsburg,Private room,85,5,2,0.32,1,25,yes,82
219,Manhattan,Other,Private room,80,1,1,0.03,1,0,no,74
220,Manhattan,Other,Entire home/apt,274,30,0,,232,194,yes,274
221,Manhattan,Hell's Kitchen,Entire home/apt,180,30,6,0.16,96,255,yes,167
222,Brooklyn,Crown Heights,Entire home/apt,110,3,20,1.0,1,0,no,106
223,Queens,Other,Entire home/apt,150,2,21,1.07,1,288,yes,140
224,Manhattan,Harlem,Entire home/apt,150,2,10,0.49,1,0,no,158
225,Manhattan,East Harlem,Entire home/apt,299,4,58,0.97,2,324,yes,293
226,Brooklyn,Greenpoint,Private room,120,3,1,0.28,1,87,yes,135
227,Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,5,4,0.07,1,9,yes,231
228,Manhattan,West Village,Entire home/apt,144,4,27,0.39,1,0,no,156
229,Staten Island,Other,Private room,80,1,29,3.49,1,80,yes,90
230,Brooklyn,Greenpoint,Entire home/apt,175,4,2,0.04,1,0,no,180
231,Manhattan,Financial District,Entire home/apt,316,30,0,,232,287,yes,303
232,Queens,Other,Private room,40,3,11,0.33,1,318,yes,31
233,Queens,Other,Private room,89,1,0,,1,365,yes,74
234,Brooklyn,Other,Entire home/apt,150,3,51,1.07,1,180,yes,149
235,Bronx,Other,Private room,37,1,14,1.42,3,332,yes,37
236,Brooklyn,Williamsburg,Private room,60,2,3,1.25,2,5,yes,61
237,Manhattan,Other,Entire home/apt,160,29,0,,327,318,yes,147
238,Manhattan,Midtown,Private room,350,2,0,,1,0,no,336
239,Brooklyn,Fort Greene,Entire home/apt,200,2,13,1.3,1,0,no,188
240,Manhattan,East Harlem,Entire home/apt,115,2,18,0.48,1,3,yes,115
241,Manhattan,Upper West Side,Entire home/apt,300,2,0,,1,0,no,312
242,Brooklyn,Bedford-Stuyvesant,Private room,72,1,2,0.14,1,0,no,84
243,Manhattan,Midtown,Entire home/apt,240,2,5,0.14,1,0,no,242
244,Manhattan,Harlem,Private room,55,3,8,0.22,1,0,no,52
245,Brooklyn,Bushwick,Entire home/apt,115,4,12,0.18,1,0,no,128
246,Queens,Other,Private room,40,31,0,,1,69,yes,42
247,Manhattan,Other,Entire home/apt,300,1,0,,1,0,no,293
248,Manhattan,East Harlem,Private room,89,1,63,3.74,1,12,yes,96
249,Brooklyn,Crown Heights,Entire home/apt,100,2,106,3.72,1,28,yes,88
250,Brooklyn,Other,Entire home/apt,150,1,0,,1,0,no,156
251,Brooklyn,Other,Private room,85,2,11,0.48,1,0,no,76
252,Manhattan,Harlem,Private room,73,1,4,4.0,2,24,yes,67
253,Brooklyn,Other,Entire home/apt,100,3,24,0.72,1,2,yes,97
254,Brooklyn,Williamsburg,Private room,80,3,1,0.12,1,8,yes,74
255,Queens,Other,Shared room,120,1,0,,2,365,yes,105
256,Queens,Other,Private room,58,1,16,4.44,3,129,yes,64
257,Brooklyn,Bedford-Stuyvesant,Private room,61,1,71,1.06,15,314,yes,59
258,Manhattan,Upper West Side,Private room,61,4,2,0.37,1,0,no,65
259,Queens,Other,Private room,49,1,6,0.4,1,11,yes,56
260,Brooklyn,Other,Entire home/apt,180,3,2,0.05,1,0,no,189
261,Brooklyn,Clinton Hill,Private room,55,3,16,0.37,1,0,no,52
262,Brooklyn,Bushwick,Private room,51,3,5,0.19,1,0,no,33
263,Brooklyn,Other,Private room,99,2,354,3.2,3,20,yes,108
264,Queens,Other,Private room,40,1,52,4.32,5,15,yes,47
265,Manhattan,West Village,Entire home/apt,295,5,6,0.12,1,0,no,301
266,Manhattan,Harlem,Entire home/apt,400,4,7,0.93,2,244,yes,396
267,Brooklyn,Bushwick,Private room,35,25,3,0.13,1,36,yes,49
268,Manhattan,Other,Private room,200,1,0,,1,0,no,191
269,Manhattan,Upper West Side,Entire home/apt,200,30,0,,7,365,yes,200
270,Manhattan,Other,Entire home/apt,219,1,18,4.46,1,292,yes,217
271,Manhattan,Hell's Kitchen,Private room,106,4,27,2.83,1,0,no,111
272,Bronx,Other,Entire home/apt,90,30,0,,1,55,yes,80
273,Manhattan,Harlem,Entire home/apt,700,6,2,0.09,2,72,yes,692
274,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,0,,1,0,no,109
275,Bronx,Other,Entire home/apt,360,2,8,0.51,1,71,yes,364
276,Manhattan,Upper West Side,Entire home/apt,200,1,11,0.26,1,0,no,188
277,Queens,Other,Private room,50,1,2,0.07,1,0,no,55
278,Manhattan,Upper East Side,Entire home/apt,135,30,9,0.38,16,340,yes,145
279,Brooklyn,Bedford-Stuyvesant,Private room,38,31,0,,1,0,no,16
280,Queens,Other,Private room,38,6,5,0.11,43,313,yes,32
281,Manhattan,Harlem,Private room,112,2,31,2.59,2,340,yes,130
282,Manhattan,Hell's Kitchen,Entire home/apt,125,3,9,2.13,1,191,yes,138
283,Brooklyn,Bedford-Stuyvesant,Private room,45,2,53,0.83,1,365,yes,37
284,Queens,Other,Private room,50,1,302,16.81,3,26,yes,52
285,Manhattan,East Harlem,Entire home/apt,125,1,2,0.04,1,0,no,125
286,Brooklyn,Greenpoint,Private room,120,4,0,,1,0,no,120
287,Brooklyn,Williamsburg,Private room,77,7,1,0.02,1,0,no,78
288,Brooklyn,Bedford-Stuyvesant,Private room,65,1,87,3.75,2,254,yes,60
289,Brooklyn,Williamsburg,Entire home/apt,112,14,0,,1,0,no,120
290,Queens,Other,Private room,55,1,41,2.18,1,5,yes,46
291,Brooklyn,Other,Entire home/apt,115,2,5,0.13,1,0,no,125
292,Manhattan,Harlem,Private room,92,2,44,5.57,3,51,yes,92
293,Brooklyn,Crown Heights,Entire home/apt,130,3,7,0.21,1,0,no,146
294,Brooklyn,Williamsburg,Entire home/apt,92,3,4,0.21,1,0,no,94
295,Manhattan,Chelsea,Private room,150,1,0,,1,0,no,149
296,Manhattan,East Village,Entire home/apt,99,2,41,1.24,2,23,yes,97
297,Brooklyn,Bushwick,Private room,70,1,8,0.81,1,0,no,74
298,Manhattan,Other,Private room,60,10,0,,1,2,yes,65
299,Brooklyn,Other,Entire home/apt,275,2,3,0.05,1,0,no,283
300,Brooklyn,Bedford-Stuyvesant,Shared room,33,1,33,2.78,17,85,yes,41
301,Brooklyn,Williamsburg,Entire home/apt,40,15,10,0.13,3,365,yes,45
302,Queens,Other,Entire home/apt,280,2,42,3.44,2,108,yes,276
303,Bronx,Other,Private room,50,2,14,0.4,2,26,yes,50
304,Brooklyn,Williamsburg,Entire home/apt,100,5,3,0.07,1,0,no,91
305,Manhattan,East Village,Entire home/apt,100,7,6,0.11,1,0,no,105
306,Manhattan,East Harlem,Private room,55,1,167,2.78,10,363,yes,66
307,Brooklyn,Bedford-Stuyvesant,Private room,60,2,29,3.95,3,292,yes,58
308,Manhattan,Washington Heights,Private room,85,4,0,,1,55,yes,86
309,Manhattan,Chelsea,Entire home/apt,299,2,35,3.75,1,277,yes,304
310,Bronx,Other,Private room,51,2,36,0.96,1,364,yes,49
311,Manhattan,Hell's Kitchen,Entire home/apt,217,2,43,0.51,1,0,no,211
312,Brooklyn,Williamsburg,Entire home/apt,101,4,0,,1,27,yes,101
313,Manhattan,Upper West Side,Entire home/apt,160,3,2,0.05,1,0,no,151
314,Manhattan,Harlem,Private room,80,1,3,0.08,1,0,no,74
315,Manhattan,Other,Entire home/apt,196,1,0,,3,0,no,189
316,Brooklyn,Clinton Hill,Entire home/apt,249,4,19,0.23,1,362,yes,268
317,Manhattan,East Harlem,Private room,80,1,60,4.76,2,0,no,77
318,Brooklyn,Williamsburg,Private room,65,3,2,0.13,1,0,no,62
319,Manhattan,Midtown,Entire home/apt,153,1,1,0.03,1,0,no,148
320,Queens,Other,Private room,38,1,66,3.5,4,0,no,37
321,Queens,Other,Entire home/apt,125,18,0,,1,0,no,123
322,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,309,2.86,2,3,yes,134
323,Brooklyn,Bedford-Stuyvesant,Entire home/apt,65,1,1,0.09,1,98,yes,63
324,Queens,Other,Entire home/apt,120,3,21,2.09,1,152,yes,122
325,Manhattan,Other,Entire home/apt,240,2,0,,1,0,no,255
326,Brooklyn,Greenpoint,Private room,97,5,3,0.06,1,0,no,97
327,Brooklyn,Bedford-Stuyvesant,Private room,100,4,0,,1,0,no,100
328,Manhattan,Upper East Side,Entire home/apt,270,4,44,0.92,1,335,yes,274
329,Brooklyn,Bedford-Stuyvesant,Private room,65,30,18,1.54,3,354,yes,59
330,Manhattan,Midtown,Entire home/apt,199,3,7,1.59,3,358,yes,192
331,Brooklyn,Park Slope,Private room,58,2,0,,2,0,no,55
332,Brooklyn,Park Slope,Entire home/apt,150,5,6,0.74,1,0,no,150
333,Manhattan,Financial District,Entire home/apt,169,29,0,,96,170,yes,158
334,Brooklyn,Other,Entire home/apt,450,3,3,0.12,1,0,no,445
335,Brooklyn,Crown Heights,Entire home/apt,135,3,17,0.68,1,0,no,131
336,Manhattan,Other,Private room,99,2,28,0.55,1,296,yes,99
337,Brooklyn,Clinton Hill,Entire home/apt,200,3,2,0.22,1,16,yes,200
338,Manhattan,Upper East Side,Entire home/apt,170,1,20,0.77,1,0,no,166
339,Brooklyn,Other,Private room,75,2,7,4.2,1,17,yes,95
340,Queens,Other,Entire home/apt,100,2,1,0.02,1,0,no,106
341,Brooklyn,Other,Private room,85,3,47,0.81,1,299,yes,91
342,Manhattan,Washington Heights,Entire home/apt,110,7,19,1.11,1,171,yes,111
343,Brooklyn,Bedford-Stuyvesant,Private room,66,1,3,0.36,3,0,no,73
344,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,120,2,9,3.38,1,10,yes,120
345,Brooklyn,Greenpoint,Entire home/apt,200,4,25,0.58,1,6,yes,187
346,Brooklyn,Clinton Hill,Entire home/apt,308,2,62,2.01,2,294,yes,303
347,Manhattan,Harlem,Private room,69,2,57,1.57,1,287,yes,78
348,Brooklyn,Williamsburg,Private room,100,1,0,,1,0,no,110
349,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,70,6,4,0.09,1,0,no,82
350,Manhattan,Upper West Side,Entire home/apt,165,5,25,0.54,2,70,yes,168
351,Manhattan,East Harlem,Private room,80,1,134,2.69,3,211,yes,83
352,Manhattan,Harlem,Entire home/apt,150,3,2,0.04,1,0,no,151
353,Manhattan,Upper East Side,Private room,60,1,48,4.97,1,8,yes,59
354,Brooklyn,Bedford-Stuyvesant,Entire home/apt,177,4,82,2.22,1,73,yes,180
355,Manhattan,Upper East Side,Private room,80,4,11,1.3,1,156,yes,78
356,Manhattan,Other,Private room,175,3,174,3.66,1,194,yes,171
357,Brooklyn,Other,Entire home/apt,105,3,1,0.12,2,46,yes,109
358,Brooklyn,Other,Private room,42,3,28,0.74,2,355,yes,40
359,Manhattan,East Village,Entire home/apt,160,2,8,0.18,1,0,no,160
360,Queens,Other,Entire home/apt,85,2,1,0.05,1,0,no,73
361,Manhattan,Financial District,Entire home/apt,299,29,0,,96,189,yes,307
